"country","mean","se","l","u","age"
"Mexico",0.0111528700238797,0.00901583689017276,0.0021666696290147,0.0352800872274291,"18-19"
"Micronesia (Federated States of)",0.0410679297483796,0.0367731707672186,0.0072618353278097,0.141662668027253,"18-19"
"Moldova",0.00653711444232135,0.00541757743494131,0.000946214272583814,0.0206692779675977,"18-19"
"Mongolia",0.0142683474226281,0.0112598272432253,0.00328688134224396,0.0436821165518896,"18-19"
"Montenegro",0.0058535557069475,0.00464377646653634,0.000827494779961448,0.0167308947558454,"18-19"
"Morocco",0.0186119200615394,0.0149229219004373,0.00418723146805759,0.0561965177058951,"18-19"
"Mozambique",0.00466896201303421,0.00361756612491997,0.000623564236775382,0.0138720521669403,"18-19"
"Myanmar",0.00501688602194189,0.00403429252302407,0.000880617387955454,0.0139852241199358,"18-19"
"Namibia",0.00569787692005991,0.00454163884474477,0.000826240109494226,0.0170427338695268,"18-19"
"Nauru",0.0811814617594097,0.0737082904456444,0.00960499934170551,0.293712587023919,"18-19"
"Nepal",0.012779188701255,0.010174647152831,0.00318760490517892,0.0350293917734821,"18-19"
"Netherlands",0.00291632913663869,0.00215277654919764,0.00035294760522687,0.00833331705170933,"18-19"
"New Zealand",0.00622057320852745,0.00465484466646694,0.00117723290543453,0.0170817717072676,"18-19"
"Nicaragua",0.00861153811476892,0.00748670560391935,0.00147696162886067,0.0272151934187893,"18-19"
"Niger",0.00403914106387017,0.00335698307100072,0.000460739144194967,0.0128874337549031,"18-19"
"Nigeria",0.00437677159587424,0.00339330340112559,0.000599871566799195,0.0125467933123482,"18-19"
"Niue",0.066889807481065,0.0598760138544551,0.00858075284230306,0.232552599323263,"18-19"
"North Korea",0.00385019207878647,0.00359529406075074,0.000277569928201615,0.0124855331222631,"18-19"
"Norway",0.00406363664850426,0.0029890766279876,0.000529895263887732,0.011092042160176,"18-19"
"Occupied Palestinian Territory",0.025182588972317,0.0199220338851085,0.00525976210231435,0.0794647571922972,"18-19"
